factor	target	value
41	SRSF7	TARDBP	-0.0018143345100329
351	SRSF7	HNRNPR	-0.000211577478383016
661	SRSF7	SRSF10	-0.00380840196453129
2211	SRSF7	SRSF4	-0.0104533160302212
2831	SRSF7	SFPQ	-0.00515288103012446
4071	SRSF7	PPIE	-0.00435339290229674
5001	SRSF7	PRPF38A	-0.00280357567608761
5311	SRSF7	MAGOH	-0.0155604606496879
5621	SRSF7	SRSF11	-0.00964476025634599
5931	SRSF7	ZRANB2	-0.00380426579596622
7171	SRSF7	PRPF38B	-0.00351252432191714
8721	SRSF7	PRPF3	-0.0103684578929835
9651	SRSF7	CLK2	-0.014402435207479
9961	SRSF7	DHX9	-0.00283557671373539
10581	SRSF7	SNRPE	-0.00327924501991979
11821	SRSF7	SF3B14	-0.0033969120647293
12441	SRSF7	SRSF7	0.629225888386175
13681	SRSF7	TIA1	-0.0141670172836729
16471	SRSF7	PPIG	-0.00692229259360881
17091	SRSF7	HNRNPA3	-0.0119526624483597
17401	SRSF7	CWC22	-0.00419335837105648
17711	SRSF7	SF3B1	-0.00519134617714758
18021	SRSF7	CLK1	-0.00104193230594262
19571	SRSF7	RBM5	-0.00234568770487536
19881	SRSF7	RBM15B	-0.0125943766004847
20811	SRSF7	DBR1	-0.0143997583293159
21741	SRSF7	POLR2H	-0.0243594683276698
22051	SRSF7	TRA2B	-0.012777211901406
22981	SRSF7	DHX15	-0.00304132313865073
23911	SRSF7	HNRNPD	-0.0100590408919327
24221	SRSF7	LSM6	-0.0143769621466296
24841	SRSF7	FRG1	-0.00154077975408645
25461	SRSF7	SREK1IP1	-0.00143135660925476
26081	SRSF7	PPWD1	-0.0146364014812981
26391	SRSF7	SREK1	-0.0120826753162439
27321	SRSF7	HNRNPA0	-0.00797989262909364
29491	SRSF7	HNRNPH1	-0.0124336344869313
29801	SRSF7	PRPF4B	-0.0052778866370389
30731	SRSF7	DDX39B	-0.00357677268649098
31041	SRSF7	LSM2	-0.00170743182003835
31971	SRSF7	SRSF3	-0.00852821905252914
35071	SRSF7	TRA2A	-0.0156847198107914
35381	SRSF7	HNRNPA2B1	-0.00439302619818525
36311	SRSF7	CDK13	-0.0061194927256202
37241	SRSF7	NAA38	-0.0030715071648914
40961	SRSF7	CPSF1	-0.000516801752210002
42511	SRSF7	RBM17	-0.00914909527068958
43441	SRSF7	HNRNPH3	-0.00240269691192849
43751	SRSF7	CCAR1	-0.00162924502717118
46851	SRSF7	CPSF7	-0.00580765087879335
48711	SRSF7	RBM4	-0.00108120828156565
50261	SRSF7	BUD13	-0.002210579182318
50571	SRSF7	MAGOHB	-0.0148159354308564
52431	SRSF7	DDX23	-0.00290322492662522
53361	SRSF7	HNRNPA1	-0.00145182383615146
54601	SRSF7	SRSF9	-0.00348944358436317
54911	SRSF7	ZCCHC8	-0.00255666037990414
55221	SRSF7	ARL6IP4	-0.00401345527499784
58631	SRSF7	PNN	-0.0184648656272745
58941	SRSF7	PRPF39	-0.00189901630552755
59871	SRSF7	SRSF5	-0.00980220597200443
60181	SRSF7	RBM25	-0.00773183401968922
61111	SRSF7	PAPOLA	-0.00986401726787718
61731	SRSF7	AQR	-0.000325006031733947
62041	SRSF7	PDCD7	-0.00459206755353853
62971	SRSF7	SNRPA1	-0.00432671744085834
70101	SRSF7	SRSF1	-0.0142890070897028
70411	SRSF7	DDX5	-0.00894963751329942
71341	SRSF7	SRSF2	-0.019759275802978
72581	SRSF7	THOC1	-0.00410896691858523
74751	SRSF7	LSM7	-0.0109921447483991
75061	SRSF7	CACTIN	-0.00162709057031494
75681	SRSF7	KHSRP	-0.000619444690434832
76301	SRSF7	HNRNPM	-0.000590470393657604
78471	SRSF7	GPATCH1	-0.00100613241089192
80021	SRSF7	SNRPA	-0.0144037476436321
82501	SRSF7	PRPF31	-0.00621491896239548
83121	SRSF7	U2AF2	-0.0139563096783387
84671	SRSF7	RBM39	-0.0136918907502117
85291	SRSF7	SRSF6	-0.0186437408263059
86531	SRSF7	SON	-0.00375153294531223
86841	SRSF7	U2AF1	-0.0046144428007548
89941	SRSF7	PHF5A	-0.00397036896761612
90561	SRSF7	AKAP17A	-0.00216240495470828
91801	SRSF7	NONO	-0.00204558048182994
93041	SRSF7	THOC2	-0.0081712716152809
93661	SRSF7	RBMX	-0.00732683657629048
